"title","release_year","budget","revenue","rating","num_voted_users","profit_ratio"
"Halloween: The Curse of Michael Myers",1995,5000000,15126948,4.9,20815,3.0253896
"Flight",2012,31000000,93749203,7.3,264047,3.02416783870968
"Meet the Parents",2000,55000000,166225040,7,260442,3.02227345454545
"Foolish",1999,2000000,6026908,4.3,536,3.013454
"The Maze Runner",2014,34000000,102413606,6.8,310903,3.01216488235294
"Daddy's Home",2015,50000000,150315155,6.1,54010,3.0063031
"Why Did I Get Married Too?",2010,20000000,60072596,4.4,7664,3.0036298
"Bruce Almighty",2003,81000000,242589580,6.7,296904,2.99493308641975
"Earth to Echo",2014,13000000,38916903,5.8,15664,2.99360792307692
"Ice Age",2002,59000000,176387405,7.6,328159,2.98961703389831
"The Addams Family",1991,38000000,113502246,6.8,96607,2.98690121052632
"The Artist",2011,15000000,44667095,8,190030,2.97780633333333
"Philadelphia",1993,26000000,77324422,7.7,178731,2.97401623076923
"No Country for Old Men",2007,25000000,74273505,8.1,612060,2.9709402
"Back to the Future Part II",1989,40000000,118500000,7.8,340085,2.9625
"Man on Wire",2008,1000000,2957978,7.8,40481,2.957978
"The Pursuit of Happyness",2006,55000000,162586036,8,338383,2.95610974545455
"As Good as It Gets",1997,50000000,147637474,7.7,224671,2.95274948
"Hot Fuzz",2007,8000000,23618786,7.9,352695,2.95234825
"Twilight Zone: The Movie",1983,10000000,29500000,6.5,25613,2.95
"I Got the Hook Up",1998,3500000,10305534,3.9,1721,2.94443828571429
"A Beautiful Mind",2001,58000000,170708996,8.2,610568,2.94325855172414
"Mad Max Beyond Thunderdome",1985,12305523,36200000,6.2,101840,2.94176850508507
"Spy Kids 3-D: Game Over",2003,38000000,111760631,4.1,40227,2.94106923684211
"A Low Down Dirty Shame",1994,10000000,29392418,5.8,3924,2.9392418
"The Last King of Scotland",2006,6000000,17605861,7.7,145580,2.93431016666667
"Alvin and the Chipmunks: The Squeakquel",2009,75000000,219613391,4.5,31649,2.92817854666667
"Rocky Balboa",2006,24000000,70269171,7.2,162130,2.927882125
"The Princess Diaries",2001,37000000,108244774,6.2,94049,2.92553443243243
"Wall Street",1987,15000000,43848100,7.4,119150,2.92320666666667
"Darkness Falls",2003,11000000,32131483,4.9,25870,2.92104390909091
"Hoodwinked!",2005,17500000,51053787,6.5,45900,2.91735925714286
"The English Patient",1996,27000000,78651430,7.4,142067,2.91301592592593
"Shrek 2",2004,150000000,436471036,7.2,314630,2.90980690666667
"Die Hard",1988,28000000,81350242,8.2,592582,2.90536578571429
"Spider-Man",2002,139000000,403706375,7.3,544665,2.90436241007194
